TickTime,Symbol,Price,Volume
2021.08.03 01:54:47.14409390,AUDCAD,0.92116,0
2021.08.03 01:54:48.14409921,AUDCAD,0.9211549999999999,0
2021.08.03 01:54:49.14410781,AUDCAD,0.92115,0
2021.08.03 01:54:49.14411234,AUDCAD,0.9211549999999999,0
2021.08.03 01:54:50.14412343,AUDCAD,0.92115,0
2021.08.03 01:54:51.14412984,AUDCAD,0.9211549999999999,0
2021.08.03 01:54:51.14413218,AUDCAD,0.92116,0
2021.08.03 01:54:55.14417515,AUDCAD,0.9211549999999999,0
2021.08.03 01:54:57.14419171,AUDCAD,0.92116,0
2021.08.03 01:54:59.14420750,AUDCAD,0.921165,0
2021.08.03 01:55:00.14421937,AUDCAD,0.92116,0
2021.08.03 01:55:02.14423765,AUDCAD,0.9211450000000001,0
2021.08.03 01:55:02.14423984,AUDCAD,0.92116,0
2021.08.03 01:55:02.14424203,AUDCAD,0.921175,0
2021.08.03 01:55:02.14424359,AUDCAD,0.921165,0
2021.08.03 01:55:07.14429468,AUDCAD,0.92117,0
2021.08.03 01:55:07.14429609,AUDCAD,0.921165,0
2021.08.03 01:55:08.14429812,AUDCAD,0.9211400000000001,0
2021.08.03 01:55:08.14430015,AUDCAD,0.921135,0
2021.08.03 01:55:08.14430625,AUDCAD,0.92113,0
2021.08.03 01:55:09.14430687,AUDCAD,0.9211050000000001,0
2021.08.03 01:55:09.14430984,AUDCAD,0.921115,0
2021.08.03 01:55:09.14431156,AUDCAD,0.921125,0
2021.08.03 01:55:10.14431812,AUDCAD,0.921115,0
2021.08.03 01:55:10.14431828,AUDCAD,0.921125,0
2021.08.03 01:55:11.14433281,AUDCAD,0.921115,0
2021.08.03 01:55:13.14435562,AUDCAD,0.9211199999999999,0
2021.08.03 01:55:14.14435718,AUDCAD,0.92113,0
2021.08.03 01:55:14.14436359,AUDCAD,0.92115,0
2021.08.03 01:55:15.14436953,AUDCAD,0.92116,0
2021.08.03 01:55:18.14440265,AUDCAD,0.92117,0
2021.08.03 01:55:19.14441406,AUDCAD,0.92118,0
